格式化站点编号,站点名称,等价站点,线路名称,线路方向,单程序号,经度,纬度,在主城区
006_U_26,中海,['006_U_25'],6,上行,26,117.95521,37.394314,True
006_U_27,中海公园南门,"['105_U_14', '017_U_26']",6,上行,27,117.962347,37.3917,True
006_U_28,公共资源交易中心,"['011_U_06', '017_U_29', '011_U_05']",6,上行,28,117.97138,37.391707,True
006_U_29,北镇中学,"['017_U_31', '017_U_30']",6,上行,29,117.978635,37.391743,True
006_U_30,学院北门,[],6,上行,30,117.987632,37.39178,True
006_U_31,锦绣城,['112_U_19'],6,上行,31,117.993543,37.391739,True
006_U_32,青藤苑酒店,"['002_U_33', '002_U_35', '002_U_34', '006_U_33', '032_U_29']",6,上行,32,117.999199,37.391876,True
006_U_33,建设小区,"['006_U_32', '002_U_33', '002_U_34']",6,上行,33,118.002841,37.392126,True
006_U_34,王家,"['024_U_23', '005_U_63', '006_U_35', '005_U_62']",6,上行,34,118.006943,37.39244,True
006_U_35,市干休所,"['024_U_23', '006_U_34', '005_U_63', '026_U_45', '026_U_46', '005_U_62']",6,上行,35,118.010496,37.392709,True
006_U_36,区公安局,"['026_U_46', '026_U_45']",6,上行,36,118.014656,37.393013,True
006_U_38,滨南社区,"['004_U_28', '022_U_40', '001_D_07', '001_D_06']",6,上行,38,118.018956,37.387403,True
006_U_40,新华街,"['016_D_05', '006_U_41', '004_U_31', '030_U_45', '001_D_05']",6,上行,40,118.022847,37.381913,True
006_U_41,华升盛世春秋,"['001_U_33', '001_D_08', '016_D_05', '001_U_32', '030_U_45', '004_U_32', '006_U_40']",6,上行,41,118.026297,37.382208,True
006_U_44,五四广场,"['001_D_02', '010_U_53', '009_U_47', '011_U_30', '106_U_36', '001_U_34']",6,上行,44,118.02948,37.37271,True
007_U_01,职业学院东门,['007_U_02'],7,上行,1,118.002596,37.417335,True
007_U_02,北海明珠,"['002_U_26', '007_U_01']",7,上行,2,118.006484,37.417949,True
007_U_04,南蔺居委会,"['105_U_29', '026_U_55', '002_U_27', '113_U_28']",7,上行,4,118.010483,37.411349,True
007_U_05,宣家小区西门,"['026_U_48', '005_U_59', '005_U_58']",7,上行,5,118.011094,37.40564,True
007_U_07,瑄嘉名都,"['012_U_13', '005_U_58', '107_U_26']",7,上行,7,118.017382,37.401858,True
007_U_08,清怡小学东校区,"['107_U_26', '007_U_09']",7,上行,8,118.017775,37.397776,True
007_U_09,清怡市场,"['007_U_08', '004_U_26']",7,上行,9,118.017984,37.395751,True
007_U_15,黄金大厦,"['009_U_46', '023_U_33', '001_D_03', '001_D_04', '007_U_16']",7,上行,15,118.020501,37.37365,True
007_U_16,蒲园,"['009_U_46', '007_U_15', '007_U_17']",7,上行,16,118.020841,37.369759,True
007_U_17,磬露园,"['007_U_18', '007_U_16', '009_U_45']",7,上行,17,118.018992,37.368527,True
007_U_18,高杜市场,"['007_U_17', '009_U_45']",7,上行,18,118.015166,37.367615,True
007_U_19,供水花园,[],7,上行,19,118.012603,37.364411,True
009_U_28,滨魏二区,[],9,上行,28,117.916175,37.379794,True
009_U_29,二单宿舍,['009_U_30'],9,上行,29,117.929789,37.379841,True
009_U_30,杜店北街,"['009_U_29', '009_U_31']",9,上行,30,117.933591,37.379854,True
009_U_31,明日星城小区,"['017_U_15', '009_U_30']",9,上行,31,117.936258,37.377346,True
009_U_32,汽车总站广场,"['003_U_06', '031_U_17', '010_U_33']",9,上行,32,117.937112,37.373202,True
009_U_33,天阳小区,"['112_U_05', '010_U_36']",9,上行,33,117.944884,37.373582,True
009_U_35,市税务局二路办公区,"['032_U_16', '025_U_31']",9,上行,35,117.957021,37.372393,True
009_U_36,百世儿童医院,['105_U_07'],9,上行,36,117.962714,37.371762,True
009_U_37,至尊门第南门,"['011_U_11', '011_U_12']",9,上行,37,117.968381,37.371432,True
009_U_38,碧林花园,"['011_U_17', '003_U_04']",9,上行,38,117.978904,37.371491,True
009_U_39,新光小区,"['012_U_30', '009_U_40']",9,上行,39,117.986364,37.371574,True
009_U_40,双拥广场,['009_U_39'],9,上行,40,117.990076,37.371586,True
009_U_41,利世医院,"['009_U_42', '018_U_12', '029_U_18']",9,上行,41,117.994824,37.37055,True
009_U_42,建工宿舍,"['009_U_41', '029_U_17', '018_U_13', '029_U_18']",9,上行,42,117.998581,37.369275,True
009_U_43,广兴医院,"['002_U_41', '005_U_69', '102_U_28']",9,上行,43,118.005153,37.369689,True
009_U_44,滨医附院,"['005_U_70', '005_U_69', '003_U_01']",9,上行,44,118.010958,37.370145,True
009_U_45,剧场街农贸市场,"['007_U_18', '007_U_17']",9,上行,45,118.015998,37.370507,True
009_U_46,区第二实验小学,"['009_U_47', '007_U_15', '007_U_16', '001_D_03']",9,上行,46,118.023482,37.371078,True
009_U_47,五四转盘,"['009_U_46', '006_U_44', '010_U_53']",9,上行,47,118.027006,37.371323,True
010_U_31,明珠广场,[],10,上行,31,117.921981,37.369267,True
010_U_32,四通商贸城,[],10,上行,32,117.928043,37.37106,True
010_U_33,开发区中心医院,"['003_U_06', '009_U_32']",10,上行,33,117.933399,37.372529,True
010_U_36,秦皇丽景西门,"['009_U_33', '112_U_05']",10,上行,36,117.947031,37.371286,True
010_U_37,印象江南,"['025_U_31', '025_U_30']",10,上行,37,117.953067,37.367291,True
010_U_38,马坊市场,"['010_U_39', '025_U_31', '025_U_30']",10,上行,38,117.957288,37.3673,True
010_U_39,渤海名园,"['010_U_40', '010_U_38']",10,上行,39,117.961071,37.367318,True
010_U_40,实验学校南校区,"['011_U_12', '010_U_39']",10,上行,40,117.964777,37.367321,True
010_U_41,天场瑞府,"['011_U_12', '010_U_42']",10,上行,41,117.969545,37.367324,True
010_U_42,市委党校,"['111_U_02', '010_U_41']",10,上行,42,117.972427,37.369524,True
010_U_53,六街蔬菜市场,"['009_U_47', '106_D_02', '006_U_44', '106_U_36', '106_U_37']",10,上行,53,118.030135,37.370628,True
011_U_01,市政务服务中心,"['017_U_36', '017_U_37']",11,上行,1,117.983654,37.40329,True
011_U_02,滨州乒乓球馆,"['017_U_34', '011_U_03']",11,上行,2,117.980854,37.398044,True
011_U_03,朝阳小区,['011_U_02'],11,上行,3,117.977698,37.397948,True
011_U_04,体育家园,"['105_U_18', '011_D_37']",11,上行,4,117.972624,37.398008,True
011_U_05,格林春天,"['011_D_37', '006_U_28']",11,上行,5,117.969305,37.395017,True
