格式化上车站点编号,格式化下车站点编号,一天内刷卡数
001_D_02,001_D_03,8
001_D_02,001_D_04,15
001_D_02,001_D_05,4
001_D_02,001_U_10,1
001_D_02,001_U_12,2
001_D_02,001_U_14,2
001_D_02,001_U_15,2
001_D_02,001_U_19,1
001_D_02,001_U_21,1
001_D_02,002_U_32,3
001_D_02,002_U_36,1
001_D_02,010_U_33,2
001_D_02,016_U_10,1
001_D_02,017_U_16,1
001_D_02,020_U_05,1
001_D_02,022_U_40,1
001_D_02,030_U_26,1
001_D_02,030_U_33,2
001_D_02,106_U_10,3
001_D_02,106_U_14,2
001_D_02,106_U_15,1
001_D_02,106_U_26,2
001_D_03,001_D_02,2
001_D_03,001_D_04,8
001_D_03,001_U_12,1
001_D_03,001_U_15,1
001_D_03,001_U_28,1
001_D_03,001_U_34,4
001_D_03,002_U_30,3
001_D_03,002_U_32,1
001_D_03,003_U_06,2
001_D_03,006_U_44,1
001_D_03,009_U_29,1
001_D_03,010_U_33,1
001_D_03,016_U_10,1
001_D_03,017_U_37,1
001_D_03,020_U_13,1
001_D_03,022_U_40,1
001_D_03,022_U_42,1
001_D_03,030_U_25,5
001_D_03,030_U_26,1
001_D_03,030_U_33,1
001_D_03,030_U_34,1
001_D_03,032_U_21,2
001_D_03,105_U_23,1
001_D_03,106_U_15,1
001_D_04,001_D_02,5
001_D_04,001_D_03,3
001_D_04,001_D_05,22
001_D_04,001_D_06,5
001_D_04,001_D_08,7
001_D_04,001_U_08,3
001_D_04,001_U_10,4
001_D_04,001_U_12,8
001_D_04,001_U_13,1
001_D_04,001_U_14,5
001_D_04,001_U_15,9
001_D_04,001_U_17,2
001_D_04,001_U_21,14
001_D_04,001_U_23,2
001_D_04,001_U_24,1
001_D_04,001_U_25,2
001_D_04,001_U_26,5
001_D_04,001_U_28,2
001_D_04,001_U_29,2
001_D_04,001_U_30,3
001_D_04,001_U_34,1
001_D_04,002_U_26,1
001_D_04,002_U_30,2
001_D_04,002_U_32,5
001_D_04,002_U_34,4
001_D_04,002_U_35,2
001_D_04,002_U_36,3
001_D_04,002_U_38,2
001_D_04,002_U_43,5
001_D_04,003_U_05,1
001_D_04,003_U_06,3
001_D_04,003_U_07,2
001_D_04,004_U_12,11
001_D_04,004_U_13,1
001_D_04,004_U_14,3
001_D_04,004_U_15,1
001_D_04,004_U_18,8
001_D_04,004_U_27,5
001_D_04,004_U_31,4
001_D_04,004_U_32,6
001_D_04,005_U_58,4
001_D_04,005_U_64,6
001_D_04,005_U_71,3
001_D_04,006_U_29,1
001_D_04,006_U_30,1
001_D_04,006_U_31,1
001_D_04,006_U_33,3
001_D_04,006_U_38,5
001_D_04,006_U_40,1
001_D_04,006_U_41,1
001_D_04,006_U_44,9
001_D_04,007_U_02,1
001_D_04,007_U_05,1
001_D_04,007_U_07,6
001_D_04,007_U_09,17
001_D_04,007_U_15,17
001_D_04,007_U_16,2
001_D_04,007_U_18,7
001_D_04,007_U_19,3
001_D_04,009_U_28,4
001_D_04,009_U_30,2
001_D_04,009_U_31,2
001_D_04,009_U_36,2
001_D_04,009_U_37,1
001_D_04,009_U_38,2
001_D_04,009_U_43,5
001_D_04,009_U_44,6
001_D_04,009_U_45,4
001_D_04,009_U_46,5
001_D_04,009_U_47,6
001_D_04,010_D_29,1
001_D_04,010_U_24,1
001_D_04,010_U_25,2
001_D_04,010_U_28,1
001_D_04,010_U_31,2
001_D_04,010_U_32,2
001_D_04,010_U_33,3
001_D_04,010_U_41,2
001_D_04,011_U_01,1
001_D_04,011_U_14,3
001_D_04,011_U_15,2
001_D_04,011_U_16,4
001_D_04,011_U_31,1
001_D_04,011_U_33,2
001_D_04,011_U_35,7
001_D_04,011_U_36,2
001_D_04,012_U_13,1
001_D_04,012_U_30,2
001_D_04,012_U_32,2
001_D_04,016_U_10,11
001_D_04,017_U_16,3
001_D_04,017_U_24,1
001_D_04,017_U_27,1
001_D_04,017_U_28,2
001_D_04,017_U_30,1
001_D_04,017_U_37,1
001_D_04,018_U_34,1
001_D_04,020_U_03,1
001_D_04,020_U_05,1
001_D_04,020_U_27,1
001_D_04,022_U_02,7
001_D_04,022_U_03,3
001_D_04,022_U_07,1
001_D_04,022_U_13,6
001_D_04,022_U_16,1
001_D_04,022_U_22,2
001_D_04,022_U_24,4
001_D_04,022_U_26,1
001_D_04,022_U_30,1
001_D_04,022_U_32,2
001_D_04,022_U_40,5
001_D_04,022_U_42,1
001_D_04,023_U_33,2
001_D_04,023_U_34,2
001_D_04,026_U_45,1
001_D_04,028_U_01,1
001_D_04,028_U_07,1
001_D_04,029_U_31,5
001_D_04,030_U_24,2
001_D_04,030_U_28,3
001_D_04,030_U_30,1
001_D_04,030_U_33,4
001_D_04,030_U_34,1
001_D_04,030_U_35,6
001_D_04,030_U_45,3
001_D_04,032_U_21,1
001_D_04,032_U_28,1
001_D_04,033_U_18,2
001_D_04,036_U_28,2
001_D_04,036_U_29,7
001_D_04,036_U_31,2
001_D_04,101_U_23,8
001_D_04,101_U_24,7
001_D_04,101_U_25,2
001_D_04,102_U_08,2
001_D_04,102_U_10,1
001_D_04,102_U_28,4
001_D_04,103_U_31,6
001_D_04,105_U_23,1
001_D_04,106_U_06,5
001_D_04,106_U_08,1
001_D_04,106_U_09,4
001_D_04,106_U_10,2
001_D_04,106_U_12,3
001_D_04,106_U_13,3
001_D_04,106_U_14,2
001_D_04,106_U_15,1
001_D_04,106_U_26,1
001_D_04,106_U_27,1
001_D_04,106_U_36,1
001_D_04,111_U_05,2
001_D_04,111_U_23,1
001_D_04,111_U_35,3
001_D_05,001_D_02,7
