,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
13,8,25,2,0,779,0,0,17,0,0,0,1,13,86,57,33,255,0,0,0,0,0,3,0,9,1,0,0,12,35,1,99,0,0,849,0,3,5,1,1,0,26,94,76,0,87,104,9,0,16,246,0,3,36,0,0,35,0,0,1,9,0,170,5,209,399,29,0,4,33,1,1,0,0,0,0,2,2,0,0,20,0,5,56,68,265,3,1,0,0,4,3,0,7,3,939,4,196,0,0,163,0,2,0,0,17,78,14,6,335,257,1,0,0,4,0,84,367
14,0,0,0,0,713,0,0,5,0,2,0,0,392,198,3,73,287,4,8,0,0,0,0,0,164,0,0,0,35,38,3,219,0,0,157,0,0,0,0,3,0,35,145,190,3,521,802,265,0,296,264,0,4,17,0,0,39,0,0,0,0,1,158,0,53,184,2,0,1,0,0,5,0,0,2,0,6,1,7,0,0,0,4,0,150,239,0,4,0,0,0,5,0,0,0,855,9,86,0,0,133,0,0,0,0,0,60,0,5,680,78,0,4,1,0,3,36,295
15,0,0,20,9,202,0,0,10,0,0,0,0,129,6,3,20,211,0,0,1,0,0,4,0,0,0,0,0,1,0,0,134,0,0,3,0,1,0,0,0,2,3,47,0,1,1,0,13,0,0,1,0,3,48,0,0,23,0,0,0,0,0,0,0,1,4,0,0,1,12,0,0,0,0,1,6,0,0,0,0,9,2,42,0,41,280,2,0,0,0,1,1,0,0,0,481,0,100,0,0,91,3,0,0,0,2,0,4,0,178,110,0,0,6,0,0,8,93
16,0,0,0,0,402,0,0,2,0,1,0,0,135,80,13,9,143,0,0,0,0,0,0,0,0,0,0,0,3,0,0,129,0,0,0,0,1,1,0,0,0,25,138,0,0,1,0,0,0,1,3,0,1,54,0,0,23,0,0,1,0,0,4,6,0,11,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,112,248,0,2,0,4,0,1,0,1,0,1317,0,103,0,0,188,2,0,0,0,1,0,0,0,281,105,0,0,1,2,0,113,304
17,0,0,0,0,1708,0,5,2,0,0,0,0,627,237,201,166,190,3,0,0,1,0,0,0,0,1,0,1,0,0,0,571,0,0,3,0,0,0,0,0,0,106,828,0,0,1,8,2,0,0,8,0,7,64,6,0,47,0,0,0,1,0,1,0,0,7,1,0,3,1,5,2,0,0,0,2,4,3,4,0,1,4,1,9,116,486,1,0,4,4,3,5,0,1,5,2291,4,234,0,0,397,0,0,7,0,1,2,1,3,788,423,0,0,6,0,3,95,868
18,66,0,3,0,2380,0,0,4,0,358,0,0,26,179,0,0,1,393,1,0,6,0,0,0,215,333,0,0,369,70,295,54,0,0,71,0,5,0,37,125,0,1,5,293,0,96,162,20,38,9,354,0,113,96,5,0,50,0,0,0,0,16,205,17,115,159,6,0,4,112,2,3,0,0,20,153,102,30,0,6,0,8,5,0,88,77,12,34,28,2,33,86,3,266,15,530,95,1,0,80,36,19,33,19,3,1,39,0,0,48,83,5,2,180,318,19,3,140
19,12,6,2,0,201,0,0,1,0,1,0,3,2,0,0,0,4,0,809,3,6,6,0,0,0,3,0,0,0,4,2,50,0,0,35,0,15,0,65,50,0,0,37,125,76,55,4,79,16,3,147,0,115,115,71,0,1215,0,0,0,107,321,4,4,0,18,0,0,10,3,5,3,52,0,91,20,4,14,0,0,137,0,6,142,3624,1094,0,25,51,101,78,126,0,0,55,225,0,0,0,0,1,1,17,6,0,4,2,11,0,10,19,1,89,150,308,9,6,5
20,0,0,0,0,43,0,59,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,56,0,0,4,9,0,15,30,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,32,42,0,0,19,4,0,0,0,0,0,15,23,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,68,0,1,0,0,13,5,0,0,0,5,0,4,0,0,0,0,0,8,17,0,0,0
21,84,98,253,6,208,0,0,27,0,0,0,0,0,1,0,0,0,16,0,0,112,0,6,0,0,26,4,255,0,0,2,0,0,0,1,0,0,0,56,58,0,2,2,280,0,19,2,0,40,0,64,0,3,50,0,0,11,0,0,0,0,0,3,0,29,0,0,0,222,478,0,0,0,0,9,91,64,0,0,5,0,0,0,0,29,298,3,0,0,12,0,0,22,4,16,356,4,4,0,0,0,27,19,1,0,0,92,0,24,568,46,20,3,0,1,74,0,160
22,43,32,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,38,0,0,0,4,0,0,0,1,93,1,0,0,0,0,0,5,0,0,0,28,0,5,22,6,0,0,0,0,0,0,0,0,0,4,144,0,0,0,0,0,0,0,0,0,13,0,0,0,112,59,0,0,0,0,0,0,98
23,19,1,1,0,4,0,67,5,0,22,0,0,3,0,3,0,4,4,22,23,7,0,58,0,0,0,5,0,5,10,2,105,0,4,281,0,1,153,0,0,0,0,5,6,248,4,0,113,51,4,170,0,0,1,2,0,2151,0,0,0,0,10,36,168,38,193,0,0,11,0,35,59,128,0,0,9,0,4,11,11,35,0,235,19,3,76,0,387,218,450,0,304,2,0,0,479,0,5,0,0,2,0,89,2,0,3,1,0,0,0,6,3,5,385,1295,0,0,0
24,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,14,0,0,0,77,0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,3,2,0,1,0,6,4,0,33,42,0,0,0,7,0,0,0,18,0,0,36,0,0,1,0,0,0,22,0,0,175,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,280,0,412,0,0
25,0,0,0,0,333,0,4,1,0,76,0,0,50,126,0,0,2,112,0,0,0,0,0,0,14,330,75,0,139,148,240,29,0,0,58,0,6,0,7,89,0,0,8,267,0,134,46,72,24,115,188,1,108,68,7,0,173,0,0,0,0,3,29,3,61,35,32,0,0,0,3,8,6,0,1,25,22,0,0,0,10,5,1,3,120,68,0,147,157,0,0,220,0,72,3,193,64,1,0,45,0,3,49,1,0,3,18,0,0,20,6,0,0,196,585,3,0,15
26,38,0,0,0,999,0,0,6,0,90,0,0,0,0,0,0,0,318,0,0,9,0,0,36,146,167,0,0,88,0,420,0,0,0,64,0,0,72,80,199,0,0,6,52,0,0,101,0,36,0,438,0,4,5,0,0,10,0,0,0,4,3,25,16,0,4,0,9,1,0,55,7,0,0,0,58,41,4,0,41,2,0,65,0,48,8,0,0,8,4,0,9,144,148,0,543,75,0,0,25,8,6,14,40,0,4,5,3,1,0,21,22,0,217,3,191,0,83
27,3,0,0,0,319,0,0,1,0,45,0,0,0,0,0,0,0,133,0,0,2,0,0,0,16,183,0,0,8,0,5,0,0,0,0,0,2,1,0,0,0,0,0,13,0,0,0,0,0,0,3,0,16,8,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,2,9,0,5,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,41,0,0,1
28,0,0,0,0,493,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,125,1,0,4,0,0,0,0,0,0,0,17,97,0,0,0,276,0,71,12,0,22,0,89,0,0,0,0,0,13,0,0,0,0,0,0,0,56,2,0,0,227,0,0,1,0,0,34,238,127,0,0,0,3,1,0,0,3,2,1,0,1,0,0,0,0,5,0,16,0,1,0,0,5,0,0,1,0,0,0,0,1,344,297,0,0,0,0,1,0,0
29,0,0,0,0,679,0,12,9,0,33,0,0,2,0,0,0,7,188,3,20,0,0,0,1,144,198,33,0,0,211,282,5,0,0,6,0,19,0,35,327,1,0,41,568,18,40,110,0,39,1,615,8,102,143,26,0,307,0,0,6,5,18,30,6,13,24,0,0,4,75,44,91,0,0,4,143,45,11,4,0,13,52,0,5,92,171,14,123,245,0,122,176,0,159,33,337,87,55,0,62,52,21,134,147,2,17,6,30,1,6,46,1,173,160,873,0,2,74
30,0,0,3,0,328,0,0,2,0,4,0,0,142,150,0,0,1,9,14,1,0,0,22,0,81,3,0,0,118,35,138,131,0,0,100,0,2,0,0,0,0,12,5,285,112,618,80,133,5,193,360,0,103,118,7,0,276,0,0,0,0,0,126,0,47,113,37,0,4,0,5,0,6,0,4,0,0,0,0,0,40,1,6,0,10,84,0,52,172,3,4,192,0,0,0,53,2,0,0,0,4,0,53,4,0,0,74,0,1,144,3,0,0,213,873,9,1,4
31,0,0,0,0,833,0,99,6,0,214,0,5,64,91,0,0,1,143,0,79,0,0,0,0,195,878,71,0,462,4,831,31,0,0,109,0,97,8,25,117,0,0,108,482,165,565,77,42,139,39,215,0,1,35,0,0,73,0,0,44,58,16,88,47,39,135,7,0,5,99,200,190,0,0,23,46,26,92,1,0,7,155,5,14,193,168,18,0,1,0,406,7,0,63,19,667,62,151,0,21,178,230,0,152,12,62,39,148,10,37,159,0,646,6,5,0,216,109
32,0,0,4,0,317,1,0,7,0,7,0,54,283,213,17,71,201,3,49,0,1,1,120,0,11,0,0,0,3,121,13,211,0,0,498,0,0,1,0,2,0,19,122,132,188,118,69,618,88,34,578,0,0,107,4,0,278,0,0,0,0,51,140,0,80,312,52,0,5,2,4,5,1,0,0,72,0,0,0,0,4,3,20,4,123,725,0,46,7,8,0,34,0,6,0,1710,0,217,0,0,170,4,21,3,0,0,71,3,0,547,162,0,4,36,168,3,144,676
